,月,月,月,月,月,月,月,月,月,火,火,火,火,火,火,火,火,火,水,水,水,水,水,水,水,水,水,木,木,木,木,木,木,木,木,木,金,金,金,金,金,金,金,金,金,土,土,土,土,土,土,土,土,土
2限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.0,lecture_0185,P,選択,"周防,星井,春日,Julia",B号館_001,土2,1.0,70.0
2限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0,lecture_0192,"F,AS,A",選択,秋月,D号館_005,土2,1.0,80.0
2限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.0,lecture_0214,"AS,A,P,F",選択,"高山,gengen,高槻",A号館_001,土2,1.0,50.0
2限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3限,1.0,lecture_0001,F,選択,"高槻,teacher_H,双海,天海",G号館_007,月3,1.0,80.0,47.0,lecture_0047,P,選択,"最上,春日,松田",E号館_001,火3,2.0,100.0,48.0,lecture_0048,P,選択,"青羽,professor_E,professor_B",B号館_009,水3,2.0,70.0,18.0,lecture_0018,"P,A,AS,F",選択,"水瀬,矢吹,星井,福田",D号館_008,木3,1.0,80.0,177.0,lecture_0177,F,選択,"木下,望月,professor_E,桜守",G号館_010,金3,1.0,70.0,13.0,lecture_0013,"AS,F",選択,"萩原,桜守,最上",D号館_004,土3,2.0,70.0
3限,4.0,lecture_0004,A,選択,"春日,箱崎",C号館_002,月3,1.0,70.0,105.0,lecture_0105,F,選択,"木下,星井,teacher_H",E号館_010,火3,1.0,80.0,120.0,lecture_0120,"P,F,A",選択,"北上,馬場,四条,三浦",F号館_002,水3,1.0,150.0,42.0,lecture_0042,"AS,P",選択,"秋月,木下",G号館_003,木3,1.0,200.0,193.0,lecture_0193,"AS,P,F,A",選択,"秋月,teacher_M,永吉,福田",F号館_009,金3,2.0,70.0,28.0,lecture_0028,"P,AS",選択,"馬場,professor_D,三浦",D号館_008,土3,2.0,80.0
3限,5.0,lecture_0005,A,選択,professor_E,A号館_010,月3,1.0,70.0,107.0,lecture_0107,A,選択,"野々原,gengen,徳川,佐竹",B号館_006,火3,1.0,70.0,130.0,lecture_0130,P,選択,"菊池,天海,桜守",B号館_007,水3,2.0,70.0,69.0,lecture_0069,"F,AS,P,A",選択,"所,双海",C号館_010,木3,1.0,70.0,199.0,lecture_0199,A,必須,"最上,四条,百瀬,天海",G号館_004,金3,1.0,70.0,31.0,lecture_0031,F,選択,"白石,水瀬,周防",E号館_004,土3,2.0,80.0
3限,6.0,lecture_0006,"F,A,P",選択,二階堂,D号館_009,月3,1.0,100.0,222.0,lecture_0222,F,選択,"伴田,高山,百瀬",A号館_006,火3,1.0,70.0,134.0,lecture_0134,"A,F,P,AS",選択,"百瀬,永吉",G号館_002,水3,2.0,200.0,73.0,lecture_0073,"A,P",選択,箱崎,E号館_003,木3,1.0,80.0,250.0,lecture_0250,AS,選択,"矢吹,我那覇,田中",C号館_007,金3,1.0,80.0,36.0,lecture_0036,A,選択,"中谷,黒井,伊吹,teacher_N",A号館_008,土3,1.0,50.0
3限,7.0,lecture_0007,AS,選択,"professor_G,百瀬",G号館_003,月3,2.0,200.0,230.0,lecture_0230,"F,AS,A,P",必須,"七尾,professor_C,真壁",C号館_010,火3,1.0,80.0,140.0,lecture_0140,"A,F,AS",選択,"teacher_I,福田",E号館_006,水3,1.0,70.0,78.0,lecture_0078,F,必須,"萩原,大神,如月",E号館_002,木3,1.0,100.0,,,,,,,,,,44.0,lecture_0044,"P,AS,A,F",選択,百瀬,A号館_010,土3,1.0,70.0
3限,31.0,lecture_0031,F,選択,"白石,水瀬,周防",D号館_007,月3,2.0,80.0,,,,,,,,,,146.0,lecture_0146,"AS,F,A",選択,"木下,Stewart",F号館_010,水3,1.0,70.0,116.0,lecture_0116,"AS,A",選択,"teacher_L,teacher_J,野々原",A号館_009,木3,1.0,70.0,,,,,,,,,,51.0,lecture_0051,"P,F",選択,teacher_L,B号館_005,土3,1.0,70.0
3限,98.0,lecture_0098,F,選択,"gengen,高坂,篠宮",G号館_005,月3,1.0,300.0,,,,,,,,,,148.0,lecture_0148,"P,A,AS,F",選択,"周防,野々原",E号館_008,水3,1.0,70.0,124.0,lecture_0124,"A,F",選択,"百瀬,黒井",G号館_004,木3,1.0,200.0,,,,,,,,,,125.0,lecture_0125,A,選択,"teacher_H,高坂,島原,福田",B号館_008,土3,2.0,70.0
3限,111.0,lecture_0111,A,必須,teacher_N,G号館_010,月3,1.0,70.0,,,,,,,,,,,,,,,,,,,145.0,lecture_0145,AS,選択,佐竹,B号館_004,木3,1.0,70.0,,,,,,,,,,138.0,lecture_0138,AS,選択,"矢吹,松田",C号館_010,土3,1.0,80.0
3限,117.0,lecture_0117,AS,選択,"北沢,矢吹,所",C号館_008,月3,2.0,80.0,,,,,,,,,,,,,,,,,,,215.0,lecture_0215,F,選択,"青羽,Julia,teacher_H",D号館_001,木3,1.0,100.0,,,,,,,,,,182.0,lecture_0182,P,選択,"秋月,Stewart,天空橋,大神",D号館_002,土3,1.0,100.0
3限,183.0,lecture_0183,A,選択,"北上,田中,野々原",B号館_008,月3,1.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0,lecture_0187,F,選択,"佐竹,北上",B号館_001,土3,2.0,70.0
3限,210.0,lecture_0210,AS,選択,"宮尾,永吉",B号館_001,月3,2.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0,lecture_0191,"A,AS,F",選択,青羽,D号館_003,土3,1.0,100.0
3限,217.0,lecture_0217,"AS,P,F,A",選択,"桜守,professor_B",C号館_006,月3,1.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.0,lecture_0204,AS,選択,箱崎,C号館_006,土3,2.0,80.0
3限,244.0,lecture_0244,A,選択,"Julia,福田,舞浜,音無",E号館_008,月3,1.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.0,lecture_0207,"P,F,AS",選択,"望月,professor_F",B号館_006,土3,1.0,70.0
3限,249.0,lecture_0249,"AS,P",選択,"秋月,望月,菊池",A号館_007,月3,2.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.0,lecture_0209,F,選択,"professor_G,双海,宮尾",A号館_007,土3,2.0,70.0
3限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.0,lecture_0232,"P,AS,A,F",選択,"teacher_I,春日",E号館_006,土3,1.0,70.0
3限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4限,40.0,lecture_0040,F,選択,百瀬,F号館_001,月4,1.0,100.0,52.0,lecture_0052,"AS,A,P,F",必須,"舞浜,高槻,秋月,北上",G号館_001,火4,2.0,200.0,75.0,lecture_0075,"AS,P,A,F",必須,"佐竹,天海,teacher_M",C号館_006,水4,2.0,80.0,49.0,lecture_0049,AS,選択,"三浦,最上,大神",A号館_004,木4,1.0,50.0,19.0,lecture_0019,F,必須,"高坂,百瀬,萩原",B号館_004,金4,1.0,70.0,2.0,lecture_0002,AS,選択,"七尾,白石",D号館_004,土4,1.0,70.0
4限,72.0,lecture_0072,"AS,A,F",選択,"音無,teacher_H,豊川",B号館_004,月4,2.0,70.0,65.0,lecture_0065,AS,選択,"professor_B,望月,青羽",B号館_001,火4,1.0,70.0,79.0,lecture_0079,A,選択,"天空橋,菊池,青羽",F号館_006,水4,1.0,80.0,54.0,lecture_0054,P,選択,"北上,島原",C号館_005,木4,1.0,70.0,,,,,,,,,,14.0,lecture_0014,P,選択,"高坂,teacher_N,professor_G,矢吹",G号館_001,土4,1.0,100.0
4限,130.0,lecture_0130,P,選択,"菊池,天海,桜守",B号館_006,月4,2.0,70.0,126.0,lecture_0126,A,選択,"professor_E,宮尾,音無",A号館_010,火4,1.0,70.0,150.0,lecture_0150,"A,P,AS,F",選択,"百瀬,teacher_I,音無,周防",B号館_005,水4,2.0,70.0,60.0,lecture_0060,AS,選択,"Stewart,gengen,音無",A号館_006,木4,1.0,50.0,,,,,,,,,,32.0,lecture_0032,F,選択,"天空橋,所",D号館_005,土4,1.0,70.0
4限,143.0,lecture_0143,"P,F,AS",選択,"矢吹,高坂,professor_A",D号館_008,月4,2.0,100.0,,,,,,,,,,159.0,lecture_0159,AS,選択,"teacher_J,如月,Stewart",A号館_008,水4,1.0,70.0,75.0,lecture_0075,"AS,P,A,F",必須,"佐竹,天海,teacher_M",C号館_006,木4,2.0,80.0,,,,,,,,,,46.0,lecture_0046,F,選択,伊吹,C号館_005,土4,1.0,70.0
4限,152.0,lecture_0152,"A,F,P",選択,"箱崎,teacher_N,我那覇",C号館_010,月4,2.0,80.0,,,,,,,,,,163.0,lecture_0163,P,選択,"永吉,四条,伊吹",A号館_006,水4,1.0,50.0,83.0,lecture_0083,"AS,P,F,A",選択,"馬場,星井,天空橋",C号館_010,木4,2.0,80.0,,,,,,,,,,88.0,lecture_0088,"P,AS,F,A",選択,中谷,E号館_005,土4,1.0,70.0
4限,160.0,lecture_0160,"P,F",選択,"Stewart,professor_B",G号館_005,月4,1.0,200.0,,,,,,,,,,168.0,lecture_0168,F,選択,"gengen,最上,professor_C,中谷",D号館_009,水4,2.0,80.0,104.0,lecture_0104,P,選択,"teacher_N,白石,professor_G",B号館_009,木4,2.0,70.0,,,,,,,,,,135.0,lecture_0135,F,選択,"professor_F,木下,箱崎",A号館_009,土4,2.0,70.0
4限,171.0,lecture_0171,"F,A,P",選択,"大神,木下,永吉,双海",E号館_004,月4,1.0,70.0,,,,,,,,,,,,,,,,,,,117.0,lecture_0117,AS,選択,"北沢,矢吹,所",D号館_003,木4,2.0,80.0,,,,,,,,,,144.0,lecture_0144,"F,AS,A,P",必須,馬場,C号館_003,土4,1.0,50.0
4限,178.0,lecture_0178,"F,A",選択,"如月,teacher_I",C号館_003,月4,1.0,70.0,,,,,,,,,,,,,,,,,,,195.0,lecture_0195,AS,選択,"秋月,桜守,如月,百瀬",B号館_004,木4,1.0,70.0,,,,,,,,,,154.0,lecture_0154,"P,A",選択,"佐竹,松田",C号館_004,土4,1.0,70.0
4限,179.0,lecture_0179,AS,選択,宮尾,F号館_004,月4,1.0,100.0,,,,,,,,,,,,,,,,,,,241.0,lecture_0241,F,選択,"四条,高山,二階堂,田中",C号館_008,木4,1.0,80.0,,,,,,,,,,174.0,lecture_0174,"F,P,A,AS",選択,百瀬,G号館_005,土4,1.0,70.0
4限,227.0,lecture_0227,"A,F,P",選択,"春日,伴田,teacher_L",D号館_001,月4,1.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,lecture_0205,"AS,A,P,F",選択,teacher_L,F号館_001,土4,1.0,150.0
4限,239.0,lecture_0239,"A,AS,F",選択,"松田,professor_G,真壁,青羽",B号館_008,月4,1.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,lecture_0210,AS,選択,"宮尾,永吉",B号館_004,土4,2.0,70.0
4限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,lecture_0225,A,選択,"二階堂,篠宮,菊池,野々原",D号館_002,土4,2.0,100.0
4限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.0,lecture_0229,"AS,P",選択,professor_E,D号館_001,土4,1.0,70.0
4限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.0,lecture_0245,"AS,F",選択,"秋月,桜守,teacher_K",C号館_008,土4,2.0,80.0
4限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.0,lecture_0248,"F,A,P,AS",選択,"真壁,如月,最上,gengen",A号館_006,土4,2.0,70.0
4限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5限,26.0,lecture_0026,A,選択,"teacher_H,双海,天海,野々原",F号館_001,月5,2.0,150.0,43.0,lecture_0043,A,選択,"professor_F,天海,野々原",D号館_005,火5,1.0,80.0,57.0,lecture_0057,"A,P,F",選択,"宮尾,音無,白石",A号館_009,水5,1.0,70.0,16.0,lecture_0016,A,選択,"佐竹,最上",C号館_007,木5,1.0,80.0,165.0,lecture_0165,AS,選択,"teacher_M,Stewart,松田,佐竹",B号館_001,金5,1.0,70.0,7.0,lecture_0007,AS,選択,"professor_G,百瀬",G号館_003,土5,2.0,200.0
5限,28.0,lecture_0028,"P,AS",選択,"馬場,professor_D,三浦",C号館_007,月5,2.0,80.0,118.0,lecture_0118,F,選択,"Julia,professor_D",E号館_001,火5,1.0,80.0,74.0,lecture_0074,F,選択,"北上,四条,島原,春日",B号館_002,水5,1.0,70.0,41.0,lecture_0041,AS,選択,"松田,黒井,福田,professor_G",B号館_007,木5,1.0,70.0,186.0,lecture_0186,"P,F",選択,"伊吹,天海,周防,矢吹",B号館_005,金5,1.0,70.0,22.0,lecture_0022,F,選択,"萩原,春日,北沢",E号館_007,土5,2.0,80.0
5限,89.0,lecture_0089,F,必須,"七尾,島原,北沢,professor_F",D号館_010,月5,1.0,100.0,119.0,lecture_0119,F,選択,舞浜,C号館_007,火5,1.0,70.0,96.0,lecture_0096,F,必須,"田中,松田,百瀬,野々原",A号館_006,水5,2.0,70.0,55.0,lecture_0055,"P,AS,A,F",選択,"宮尾,周防,豊川,三浦",G号館_001,木5,1.0,70.0,,,,,,,,,,59.0,lecture_0059,F,選択,"Stewart,伊吹,teacher_J",B号館_008,土5,2.0,70.0
5限,121.0,lecture_0121,"A,F",選択,"teacher_M,professor_C,矢吹",C号館_002,月5,2.0,70.0,133.0,lecture_0133,F,必須,"teacher_L,佐竹,professor_B",B号館_001,火5,2.0,70.0,249.0,lecture_0249,"AS,P",選択,"秋月,望月,菊池",B号館_001,水5,2.0,70.0,63.0,lecture_0063,"P,A,F,AS",選択,"菊池,白石",B号館_009,木5,1.0,70.0,,,,,,,,,,99.0,lecture_0099,AS,必須,"北上,箱崎",B号館_009,土5,1.0,70.0
5限,152.0,lecture_0152,"A,F,P",選択,"箱崎,teacher_N,我那覇",E号館_001,月5,2.0,80.0,149.0,lecture_0149,P,選択,"横山,星井,Stewart",F号館_004,火5,1.0,150.0,,,,,,,,,,71.0,lecture_0071,F,選択,"professor_E,望月,teacher_I,篠宮",F号館_005,木5,1.0,50.0,,,,,,,,,,112.0,lecture_0112,"AS,P,A",選択,"黒井,田中,高坂,矢吹",F号館_001,土5,1.0,150.0
5限,153.0,lecture_0153,"F,AS,P",選択,"teacher_L,teacher_I",F号館_007,月5,2.0,100.0,202.0,lecture_0202,"P,F,A,AS",選択,"菊池,teacher_M,professor_E",B号館_004,火5,1.0,70.0,,,,,,,,,,94.0,lecture_0094,P,選択,"真壁,青羽,徳川,teacher_J",A号館_006,木5,1.0,70.0,,,,,,,,,,128.0,lecture_0128,"F,AS,A",選択,双海,E号館_005,土5,1.0,100.0
5限,158.0,lecture_0158,"AS,P",選択,"黒井,高山,音無",F号館_004,月5,2.0,70.0,203.0,lecture_0203,A,選択,"青羽,所,二階堂,最上",G号館_010,火5,1.0,80.0,,,,,,,,,,109.0,lecture_0109,A,選択,"四条,professor_A,双海,舞浜",D号館_010,木5,2.0,70.0,,,,,,,,,,161.0,lecture_0161,F,選択,"島原,我那覇",B号館_010,土5,2.0,70.0
5限,190.0,lecture_0190,P,選択,"二階堂,真壁",D号館_009,月5,1.0,80.0,231.0,lecture_0231,P,選択,"professor_C,professor_A,桜守",D号館_004,火5,1.0,70.0,,,,,,,,,,135.0,lecture_0135,F,選択,"professor_F,木下,箱崎",C号館_001,木5,2.0,70.0,,,,,,,,,,168.0,lecture_0168,F,選択,"gengen,最上,professor_C,中谷",D号館_008,土5,2.0,80.0
